geoid,town,district_id,district,grade_span,sau_id,sau
3300976740,Thornton,428,Pemi-Baker Regional,9-12,48,Plymouth SAU Office
3300976740,Thornton,531,Thornton,K-8,48,Plymouth SAU Office
3300177060,Tilton,582,Winnisquam Regional,P-12,59,Winnisquam Regional SAU Office
3300577380,Troy,363,Monadnock Regional,P-12,93,Monadnock Regional SAU Office
3300377620,Tuftonboro,208,Governor Wentworth Regional,P-12,49,Governor Wentworth Regional SAU Office
3301977940,Unity,539,Unity,P-8,109,Unity
3300378180,Wakefield,543,Wakefield,K-8,101,Wakefield SAU Office
3300578420,Walpole,174,Fall Mountain Regional,P-12,60,Fall Mountain Regional SAU Office
3301378580,Warner,276,Kearsarge Regional,P-12,65,Kearsarge Regional SAU Office
3300978740,Warren,549,Warren,P-8,23,Haverhill Cooperative SAU Office
3301978980,Washington,551,Washington,K-5,34,Hillsboro-Deering SAU Office
3300979380,Waterville Valley,553,Waterville Valley,K-8,48,Plymouth SAU Office
3301179780,Weare,275,John Stark Regional,9-12,24,Henniker SAU Office
3301179780,Weare,555,Weare,K-8,24,Henniker SAU Office
3301380020,Webster,352,Merrimack Valley,P-12,46,SAU #46 Office
3300980500,Wentworth,428,Pemi-Baker Regional,9-12,48,Plymouth SAU Office
3300980500,Wentworth,559,Wentworth,K-8,48,Plymouth SAU Office
3300582660,Westmoreland,563,Westmoreland,K-8,29,Keene SAU Office
3300784420,Whitefield,568,White Mountains Regional,P-12,36,White Mountains Regional SAU Office
3301384900,Wilmot,276,Kearsarge Regional,P-12,65,Kearsarge Regional SAU Office
3301185220,Wilton,572,Wilton-Lyndeborough Cooperative,P-12,63,Wilton SAU Office
3300585540,Winchester,573,Winchester,K-8,94,Winchester SAU Office
3301585780,Windham,575,Windham,P-12,95,Windham SAU Office
3301185940,Windsor,579,Windsor,P-12,34,Hillsboro-Deering SAU Office
3300386420,Wolfeboro,208,Governor Wentworth Regional,P-12,49,Governor Wentworth Regional SAU Office
3300987060,Woodstock,305,Lincoln-Woodstock Cooperative,K-12,68,Lincoln-Woodstock SAU Office
