geoid,name,website,source
3301144580,Lyndeborough,https://lyndeborough.nh.us/,verified
3301744820,Madbury,http://www.townofmadbury.com/,granit
3300345060,Madison,https://www.madison-nh.org/,granit
3301145140,Manchester,https://www.manchesternh.gov/,granit
3300545460,Marlborough,https://www.marlboroughnh.org/,granit
3300545700,Marlow,https://www.marlownh.gov/,granit
3301146260,Mason,https://www.masonnh.us/,granit
3300147140,Meredith,https://www.meredithnh.org/,granit
3301147540,Merrimack,https://www.merrimacknh.gov,granit
3301747700,Middleton,https://middletonnh.gov/,granit
3300747860,Milan,https://www.townofmilan.com/,granit
3301148020,Milford,https://www.milford.nh.gov/,granit
3301748660,Milton,https://www.miltonnh-us.com/,granit
3300948980,Monroe,https://www.monroenh.org/,granit
3301149140,Mont Vernon,https://www.montvernonnh.us/,granit
3300349380,Moultonborough,https://www.moultonboroughnh.gov/,verified
3301150260,Nashua,https://www.nashuanh.gov/,granit
3300550580,Nelson,https://www.townofnelson.org/,granit
3301150740,New Boston,https://www.newbostonnh.gov/,granit
3301550980,New Castle,https://www.newcastlenh.org/,granit
3301751220,New Durham,https://www.newdurhamnh.us/,granit
3300151540,New Hampton,https://www.newhamptonnh.gov/,granit
3301151940,New Ipswich,https://www.newipswichnh.gov/,granit
3301352100,New London,https://newlondon.nh.gov/,granit
3301350900,Newbury,https://www.newbury.nh.gov/,granit
3301551380,Newfields,https://www.newfieldsnh.gov/,granit
3301551620,Newington,https://www.newington.nh.us/,granit
3301552340,Newmarket,https://www.newmarketnh.gov/,granit
3301952580,Newport,https://www.newportnh.gov/,granit
3301552900,Newton,http://www.newton-nh.gov,granit
3301554580,North Hampton,https://www.northhampton-nh.gov/,granit
3301354260,Northfield,https://www.northfieldnh.org/,granit
3300756100,Northumberland,https://www.northumberlandnh.org/,granit
3301556820,Northwood,https://www.northwoodnh.org/,granit
3301557460,Nottingham,https://www.nottingham-nh.gov/,verified
3300958340,Orange,https://www.orangenh.us/,granit
3300958500,Orford,https://orfordnh.us/,granit
3300358740,Ossipee,https://www.ossipee.org/,verified
3301159940,Pelham,https://www.pelhamweb.com/,granit
3301360020,Pembroke,https://www.pembroke-nh.com/,granit
3301160580,Peterborough,https://www.peterboroughnh.gov/,granit
3300961060,Piermont,https://townofpiermontnh.org/,granit
3300761780,Pittsburg,https://pittsburg-nh.com/,granit
3301361940,Pittsfield,https://www.pittsfieldnh.gov/,granit
3301962340,Plainfield,https://www.plainfieldnh.org,granit
3301562500,Plaistow,https://www.plaistow.com/,granit
3300962660,Plymouth,https://www.plymouth-nh.org/,granit
3301562900,Portsmouth,https://www.portsmouthnh.gov/,verified
3300763860,Randolph,https://randolph.nh.gov/,granit
3301564020,Raymond,https://www.raymondnh.gov/,granit
3300564420,Richmond,https://www.richmond.nh.gov/,granit
3300564580,Rindge,https://www.rindgenh.org/,granit
3301765140,Rochester,https://www.rochesternh.gov/,granit
3301765540,Rollinsford,https://rollinsford.nh.us/,granit
3300565700,Roxbury,https://www.roxburynh.org/,granit
3300965940,Rumney,https://www.rumneynh.org/,granit
3301566180,Rye,https://www.ryenh.gov/,verified
3301566660,Salem,https://www.townofsalemnh.org/,granit
3301366980,Salisbury,https://www.salisburynh.org,granit
3300167300,Sanbornton,https://sanborntonnh.org/,granit
3301567620,Sandown,https://www.sandown.us/,granit
3300367780,Sandwich,https://sandwichnh.org/,granit
3301568260,Seabrook,https://seabrooknh.info/,granit
3301168820,Sharon,https://www.sharonnh.org/,granit
3300768980,Shelburne,https://www.townofshelburnenh.gov,granit
3301769940,Somersworth,https://www.somersworthnh.gov/,granit
3301571140,South Hampton,https://www.southhamptonnh.org/,granit
3301972740,Springfield,https://www.springfieldnh.org/,granit
3300773060,Stark,https://starknh.gov/,granit
3300573700,Stoddard,https://www.stoddardnh.org/,granit
3301773860,Strafford,https://strafford.nh.gov/,granit
3300774180,Stratford,https://stratfordnh.gov/,granit
3301574340,Stratham,https://www.strathamnh.gov/,granit
3300974740,Sugar Hill,https://www.sugarhillnh.org/,granit
3300574900,Sullivan,https://townofsullivannh.com/,granit
3301975060,Sunapee,https://www.town.sunapee.nh.us/,granit
3300575300,Surry,https://surry.nh.gov/,granit
3301375460,Sutton,https://www.sutton-nh.org/,granit
3300575700,Swanzey,https://www.swanzeynh.gov/,verified
3300376100,Tamworth,https://tamworthnh.gov,granit
3301176260,Temple,https://www.templenh.gov,granit
3300976740,Thornton,https://www.townofthornton.org/,granit
3300177060,Tilton,http://www.tiltonnh.org,granit
3300577380,Troy,https://www.troy-nh.us/,granit
3300377620,Tuftonboro,https://www.tuftonboronh.gov/,verified
3301977940,Unity,https://townofunitynh.org/,granit
3300378180,Wakefield,https://www.wakefieldnh.gov,granit
3300578420,Walpole,https://www.walpolenh.us/,granit
3301378580,Warner,https://warner.nh.us/,granit
3300978740,Warren,https://www.warren-nh.com/,granit
3301978980,Washington,https://www.washingtonnh.org/,granit
3300979380,Waterville Valley,https://www.watervillevalley.org/,granit
3301179780,Weare,https://www.weare.nh.gov/,granit
3301380020,Webster,https://www.webster-nh.gov/,granit
3300980500,Wentworth,https://www.wentworth-nh.org/,granit
3300582660,Westmoreland,https://westmorelandnh.com/,granit
3300784420,Whitefield,https://www.whitefieldnh.org/,granit
3301384900,Wilmot,https://www.wilmotnh.org/,granit
3301185220,Wilton,https://www.wiltonnh.gov/,granit
3300585540,Winchester,https://www.winchester-nh.gov/,granit
3301585780,Windham,https://www.windhamnh.gov,granit
3301185940,Windsor,https://www.windsornh.org/,granit
3300386420,Wolfeboro,https://www.wolfeboronh.us/,granit
3300987060,Woodstock,https://www.woodstocknh.org/,granit
