geoid,name,county,year,residential,commercial_industrial,utilities,other,gross
3301150260,Nashua,Hillsborough,2025,11980929716,4443968287,465318800,164198,16890381001
3301150740,New Boston,Hillsborough,2025,922051071,37735400,9129400,1298398,970214269
3301151940,New Ipswich,Hillsborough,2025,839445923,29347300,19247800,1552684,889593707
3301159940,Pelham,Hillsborough,2025,2613491366,141958485,96554009,398450,2852402310
3301160580,Peterborough,Hillsborough,2025,1085250298,276467399,20683948,2041785,1384443430
3301168820,Sharon,Hillsborough,2025,103439600,1041900,1142100,893233,106516833
3301176260,Temple,Hillsborough,2025,287033932,8119817,4652800,1262383,301068932
3301179780,Weare,Hillsborough,2025,1202104577,81031886,36812400,1350580,1321299443
3301185220,Wilton,Hillsborough,2025,524838100,45221000,7321800,1600862,578981762
3301185940,Windsor,Hillsborough,2025,36387500,1627900,515300,182786,38713486
3301300660,Allenstown,Merrimack,2025,419374500,107284500,8631600,232911,535523511
3301301460,Andover,Merrimack,2025,505618654,44946280,34889800,1274989,586729723
3301306260,Boscawen,Merrimack,2025,457503949,68466500,13351800,1133429,540455678
3301306500,Bow,Merrimack,2025,1604111547,322460752,184222270,388741,2111183310
3301306980,Bradford,Merrimack,2025,431254250,23745800,7028000,1175979,463204029
3301309860,Canterbury,Merrimack,2025,354456749,17224640,39740800,1543675,412965864
3301312420,Chichester,Merrimack,2025,482039655,74052929,8382900,930568,565406052
3301314200,Concord,Merrimack,2025,3297573598,1783995220,339088100,1383755,5422040673
3301316980,Danbury,Merrimack,2025,167233670,6297000,4971200,925237,179427107
3301319460,Dunbarton,Merrimack,2025,702888645,7977283,36832400,884023,748582351
3301324900,Epsom,Merrimack,2025,836536869,82472695,5852200,2041777,926903541
3301327380,Franklin,Merrimack,2025,902864600,154803300,110168718,884322,1168720940
3301335540,Henniker,Merrimack,2025,617461003,128769525,12575100,1818692,760624320
3301335860,Hill,Merrimack,2025,194128717,1594600,10357213,1019195,207099725
3301337300,Hooksett,Merrimack,2025,2544499243,619731065,105532408,301210,3270063926
3301337540,Hopkinton,Merrimack,2025,1307595166,102398000,36423300,2625623,1449042089
3301343380,Loudon,Merrimack,2025,631225316,81094550,18128200,1298898,731746964
3301352100,New London,Merrimack,2025,1922995137,144684122,22283700,681662,2090644621
3301350900,Newbury,Merrimack,2025,1627954004,52070700,8755400,1000422,1689780526
3301354260,Northfield,Merrimack,2025,551111300,68801900,15931900,1194058,637039158
3301360020,Pembroke,Merrimack,2025,1039473100,181553300,39258900,1272952,1261558252
3301361940,Pittsfield,Merrimack,2025,557541100,97019675,13121700,1222140,668904615
3301366980,Salisbury,Merrimack,2025,236873800,3199600,12961100,1316931,254351431
3301375460,Sutton,Merrimack,2025,548676500,20349130,5321770,1542344,575889744
3301378580,Warner,Merrimack,2025,551997463,85741195,14955400,2809461,655503519
3301380020,Webster,Merrimack,2025,346194678,6397800,23409500,1088316,377090294
3301384900,Wilmot,Merrimack,2025,387327610,17459200,7752100,1048366,413587276
3301502340,Atkinson,Rockingham,2025,1526223874,71408800,20739600,125555,1618497829
3301502820,Auburn,Rockingham,2025,1334812776,107813700,19437250,328857,1462392583
3301507220,Brentwood,Rockingham,2025,1058601657,117829700,32292300,1011238,1209734895
3301509300,Candia,Rockingham,2025,886138270,42110300,18839155,750727,947838452
3301512100,Chester,Rockingham,2025,1100346345,19936001,61611300,881962,1182775608
3301517140,Danville,Rockingham,2025,564372500,20930300,20013900,137349,605454049
3301517460,Deerfield,Rockingham,2025,1178856847,33265185,138580900,2095193,1352798125
3301517940,Derry,Rockingham,2025,4835628100,906998282,89734742,784638,5833145762
3301521380,East Kingston,Rockingham,2025,581584600,14881900,30608700,485303,627560503
3301524660,Epping,Rockingham,2025,1465853500,272294000,24627400,834600,1763609500
3301525380,Exeter,Rockingham,2025,3023382911,608188090,71341600,269707,3703182308
3301527940,Fremont,Rockingham,2025,908706180,31321520,8832400,643291,949503391
3301531700,Greenland,Rockingham,2025,1211325700,183430630,41046200,577400,1436379930
3301532900,Hampstead,Rockingham,2025,1883018533,205674600,16269800,99006,2105061939
3301533060,Hampton,Rockingham,2025,5323750750,612264150,195618700,192600,6131826200
3301533460,Hampton Falls,Rockingham,2025,784536493,87982700,12522000,596450,885637643
3301539780,Kensington,Rockingham,2025,654764112,20126900,21183589,935084,697009685
3301540100,Kingston,Rockingham,2025,1209270036,132347300,81891900,477836,1423987072
3301543220,Londonderry,Rockingham,2025,5144064000,1574412431,713101615,2284581,7433862627
3301550980,New Castle,Rockingham,2025,986208601,105195400,1310200,8023,1092722224
3301551380,Newfields,Rockingham,2025,421119400,38070300,3361128,230613,462781441
3301551620,Newington,Rockingham,2025,364457160,533683150,425480600,171792,1323792702
3301552340,Newmarket,Rockingham,2025,1439862377,283259452,11521998,341315,1734985142
3301552900,Newton,Rockingham,2025,969215120,55336400,19005600,272599,1043829719
3301554580,North Hampton,Rockingham,2025,1573878420,212836680,24031900,430600,1811177600
3301556820,Northwood,Rockingham,2025,1176270252,102296900,17906600,966461,1297440213
3301557460,Nottingham,Rockingham,2025,1417030634,21337700,32639700,1606279,1472614313
3301562500,Plaistow,Rockingham,2025,1498598700,454924000,49267300,70214,2002860214
3301562900,Portsmouth,Rockingham,2025,6445081700,3610030585,280530757,50992,10335694034
3301564020,Raymond,Rockingham,2025,1209215021,163605429,21078200,400571,1394299221
3301566180,Rye,Rockingham,2025,3195145960,100402290,14776600,103750,3310428600
3301566660,Salem,Rockingham,2025,4791416296,1864500638,125931300,126157,6781974391
3301567620,Sandown,Rockingham,2025,1153772870,17017730,11341400,210260,1182342260
3301568260,Seabrook,Rockingham,2025,2266829290,649988110,1706198300,18818,4623034518
3301571140,South Hampton,Rockingham,2025,247451581,18431300,5618900,447822,271949603
3301574340,Stratham,Rockingham,2025,2272399821,266389500,54010203,628850,2593428374
3301585780,Windham,Rockingham,2025,5040432500,272446612,55855500,80354,5368814966
3301703460,Barrington,Strafford,2025,1709613800,171363700,39978388,1224660,1922180548
3301718820,Dover,Strafford,2025,4970861467,1647117730,137312300,686803,6755978300
3301719700,Durham,Strafford,2025,1557115000,516959294,114050600,766601,2188891495
3301726020,Farmington,Strafford,2025,926290400,129875700,14393800,1594746,1072154646
3301741460,Lee,Strafford,2025,639840420,97399100,12508627,750753,750498900
3301744820,Madbury,Strafford,2025,465677916,25058300,35893400,664175,527293791
3301747700,Middleton,Strafford,2025,353751278,12788000,6071000,568882,373179160
3301748660,Milton,Strafford,2025,853571885,80287800,25628231,1297299,960785215
3301751220,New Durham,Strafford,2025,948097065,22634700,7709240,1497492,979938497
3301765140,Rochester,Strafford,2025,3861208581,1307625370,224173143,1371524,5394378618
3301765540,Rollinsford,Strafford,2025,421582900,65441800,7310200,435990,494770890
3301769940,Somersworth,Strafford,2025,1471315525,435029935,47156400,152402,1953654262
