name,geoid,year,filename,note
Pelham,3301159940,2025,3301159940_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Peterborough,3301160580,2024,3301160580_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Piermont,3300961060,2024,3300961060_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Pittsburg,3300761780,2024,3300761780_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Pittsfield,3301361940,2025,3301361940_2025.pdf,scanned-ocr
Plainfield,3301962340,2025,3301962340_2025.pdf,timeout >120s
Plaistow,3301562500,2024,3301562500_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Portsmouth,3301562900,2024,3301562900_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Raymond,3301564020,2025,3301564020_2025.pdf,scanned-ocr
Rochester,3301765140,2023,3301765140_2023.pdf,no standard DRA form found (name-only summary or city GASB format)
Rollinsford,3301765540,2025,3301765540_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Roxbury,3300565700,2025,3300565700_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Rumney,3300965940,2025,3300965940_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Rye,3301566180,2024,3301566180_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Salem,3301566660,2024,3301566660_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Salisbury,3301366980,2025,3301366980_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Sandwich,3300367780,2024,3300367780_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Seabrook,3301568260,2024,3301568260_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Shelburne,3300768980,2025,3300768980_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Somersworth,3301769940,2024,3301769940_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
South Hampton,3301571140,2025,3301571140_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Springfield,3301972740,2025,3301972740_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Stewartstown,3300773380,2025,3300773380_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Stratford,3300774180,2025,3300774180_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Sugar Hill,3300974740,2025,3300974740_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Sullivan,3300574900,2025,3300574900_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Sunapee,3301975060,2025,3301975060_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Surry,3300575300,2025,3300575300_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Swanzey,3300575700,2025,3300575700_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Tamworth,3300376100,2024,3300376100_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Temple,3301176260,2025,3301176260_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Thornton,3300976740,2024,3300976740_2024.pdf,no standard DRA form found (name-only summary or city GASB format)
Wakefield,3300378180,2024,3300378180_2024.pdf,scanned-ocr
Walpole,3300578420,2025,3300578420_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Washington,3301978980,2018,3301978980_2018.pdf,no standard DRA form found (name-only summary or city GASB format)
Waterville Valley,3300979380,2025,3300979380_2025.pdf,text-form
Whitefield,3300784420,2025,3300784420_2025.pdf,no standard DRA form found (name-only summary or city GASB format)
Winchester,3300585540,2023,3300585540_2023.pdf,scanned-ocr
