district_id,year,function_code,function_name,amount,pct
35,2013,2600,Plant Operations,469054.0,6.2
35,2013,2700,Transportation,313251.0,4.2
35,2013,2900,Other Support Services,0.0,0.0
35,2013,1500,Non-public Programs,0.0,0.0
35,2013,"1600-1800,2750",Community Programs,0.0,0.0
35,2013,5120,Bond Interest,0.0,0.0
35,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
35,2013,3100,Food Service,62756.58,0.8
35,2013,4000,Facility Construction,0.0,
35,2013,5100,Bonds & Notes Principal Repayment,0.0,
39,2013,1100,Regular Education,1144604.0,58.1
39,2013,1200,Special Programs,187400.0,9.5
39,2013,1300,Vocational Programs,35239.0,1.8
39,2013,1400,Other Instructional Programs,8725.0,0.4
39,2013,2100,Student Support Services,52055.0,2.6
39,2013,2200,Instructional Staff Support,30797.0,1.6
39,2013,2300&2800,Genral Administration & Business,117264.0,6.0
39,2013,2400,School Administration,118644.0,6.0
39,2013,2500,Business Services,0.0,0.0
39,2013,2600,Plant Operations,139905.0,7.1
39,2013,2700,Transportation,92819.0,4.7
39,2013,2900,Other Support Services,0.0,0.0
39,2013,1500,Non-public Programs,0.0,0.0
39,2013,"1600-1800,2750",Community Programs,0.0,0.0
39,2013,5120,Bond Interest,1949.0,0.1
39,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
39,2013,3100,Food Service,40132.24,2.0
39,2013,4000,Facility Construction,0.0,
39,2013,5100,Bonds & Notes Principal Repayment,23848.0,
41,2013,1100,Regular Education,24720240.0,45.6
41,2013,1200,Special Programs,9426702.0,17.4
41,2013,1300,Vocational Programs,53552.0,0.1
41,2013,1400,Other Instructional Programs,1143962.0,2.1
41,2013,2100,Student Support Services,4616787.0,8.5
41,2013,2200,Instructional Staff Support,1196631.0,2.2
41,2013,2300&2800,Genral Administration & Business,1150166.0,2.1
41,2013,2400,School Administration,3340399.0,6.2
41,2013,2500,Business Services,465622.0,0.9
41,2013,2600,Plant Operations,4251928.0,7.8
41,2013,2700,Transportation,2491019.0,4.6
41,2013,2900,Other Support Services,0.0,0.0
41,2013,1500,Non-public Programs,0.0,0.0
41,2013,"1600-1800,2750",Community Programs,19170.0,0.0
41,2013,5120,Bond Interest,1179279.0,2.2
41,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
41,2013,3100,Food Service,183865.6299999999,0.3
41,2013,4000,Facility Construction,15385.0,
41,2013,5100,Bonds & Notes Principal Repayment,3406076.0,
47,2013,1100,Regular Education,380572.0,66.1
47,2013,1200,Special Programs,108424.0,18.8
47,2013,1300,Vocational Programs,17460.0,3.0
47,2013,1400,Other Instructional Programs,1298.0,0.2
47,2013,2100,Student Support Services,9865.0,1.7
47,2013,2200,Instructional Staff Support,0.0,0.0
47,2013,2300&2800,Genral Administration & Business,22955.0,4.0
47,2013,2400,School Administration,0.0,0.0
47,2013,2500,Business Services,0.0,0.0
47,2013,2600,Plant Operations,0.0,0.0
47,2013,2700,Transportation,35399.0,6.1
47,2013,2900,Other Support Services,0.0,0.0
47,2013,1500,Non-public Programs,0.0,0.0
47,2013,"1600-1800,2750",Community Programs,0.0,0.0
47,2013,5120,Bond Interest,0.0,0.0
47,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
47,2013,3100,Food Service,0.0,0.0
47,2013,4000,Facility Construction,0.0,
47,2013,5100,Bonds & Notes Principal Repayment,0.0,
51,2013,1100,Regular Education,7441977.0,39.9
51,2013,1200,Special Programs,3721869.0,20.0
51,2013,1300,Vocational Programs,662784.0,3.6
51,2013,1400,Other Instructional Programs,527761.0,2.8
51,2013,2100,Student Support Services,1583972.0,8.5
51,2013,2200,Instructional Staff Support,471116.0,2.5
51,2013,2300&2800,Genral Administration & Business,606520.0,3.3
51,2013,2400,School Administration,819978.0,4.4
51,2013,2500,Business Services,233930.0,1.3
51,2013,2600,Plant Operations,1701964.0,9.1
51,2013,2700,Transportation,438574.0,2.4
51,2013,2900,Other Support Services,0.0,0.0
51,2013,1500,Non-public Programs,0.0,0.0
51,2013,"1600-1800,2750",Community Programs,0.0,0.0
51,2013,5120,Bond Interest,0.0,0.0
51,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
51,2013,3100,Food Service,426239.0,2.3
51,2013,4000,Facility Construction,0.0,
51,2013,5100,Bonds & Notes Principal Repayment,0.0,
53,2013,1100,Regular Education,1202354.0,41.6
53,2013,1200,Special Programs,552587.0,19.1
53,2013,1300,Vocational Programs,0.0,0.0
53,2013,1400,Other Instructional Programs,9076.0,0.3
53,2013,2100,Student Support Services,224685.0,7.8
53,2013,2200,Instructional Staff Support,16525.0,0.6
