district_id,year,source_code,source_name,amount,pct
141,2025,5110&5140,Sales of Bonds & Notes,0.0,
142,2025,1100,Local Property Tax,27200279.0,87.5
142,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",3405025.7699999996,11.0
142,2025,3111&3112&3119,State Foundation/Adequacy Aid,0.0,0.0
142,2025,3120-3900,Other State Aid,258660.0,0.8
142,2025,4000,Federal Aid,224406.0,0.7
142,2025,5300-5600,Other,0.0,0.0
142,2025,5110&5140,Sales of Bonds & Notes,0.0,
147,2025,1100,Local Property Tax,696164.0,76.1
147,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",20757.119999999995,2.3
147,2025,3111&3112&3119,State Foundation/Adequacy Aid,180395.0,19.7
147,2025,3120-3900,Other State Aid,0.0,0.0
147,2025,4000,Federal Aid,17372.0,1.9
147,2025,5300-5600,Other,0.0,0.0
147,2025,5110&5140,Sales of Bonds & Notes,0.0,
149,2025,1100,Local Property Tax,7449370.0,74.6
149,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",20296.950000000186,0.2
149,2025,3111&3112&3119,State Foundation/Adequacy Aid,2263093.0,22.7
149,2025,3120-3900,Other State Aid,27768.0,0.3
149,2025,4000,Federal Aid,226819.0,2.3
149,2025,5300-5600,Other,0.0,0.0
149,2025,5110&5140,Sales of Bonds & Notes,0.0,
153,2025,1100,Local Property Tax,2841733.0,79.0
153,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",65744.28000000026,1.8
153,2025,3111&3112&3119,State Foundation/Adequacy Aid,575680.0,16.0
153,2025,3120-3900,Other State Aid,9982.0,0.3
153,2025,4000,Federal Aid,104118.0,2.9
153,2025,5300-5600,Other,0.0,0.0
153,2025,5110&5140,Sales of Bonds & Notes,0.0,
159,2025,1100,Local Property Tax,630792.0,75.6
159,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",10605.290000000037,1.3
159,2025,3111&3112&3119,State Foundation/Adequacy Aid,191433.0,23.0
159,2025,3120-3900,Other State Aid,1078.0,0.1
159,2025,4000,Federal Aid,20.0,0.0
159,2025,5300-5600,Other,0.0,0.0
159,2025,5110&5140,Sales of Bonds & Notes,0.0,
162,2025,1100,Local Property Tax,152103.0,60.9
162,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",5.940000000002328,0.0
162,2025,3111&3112&3119,State Foundation/Adequacy Aid,86897.0,34.8
162,2025,3120-3900,Other State Aid,0.0,0.0
162,2025,4000,Federal Aid,10662.0,4.3
162,2025,5300-5600,Other,0.0,0.0
162,2025,5110&5140,Sales of Bonds & Notes,0.0,
165,2025,1100,Local Property Tax,17739057.0,73.3
165,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",248728.59999999776,1.0
165,2025,3111&3112&3119,State Foundation/Adequacy Aid,4907307.0,20.3
165,2025,3120-3900,Other State Aid,574834.0,2.4
165,2025,4000,Federal Aid,718166.0,3.0
165,2025,5300-5600,Other,0.0,0.0
165,2025,5110&5140,Sales of Bonds & Notes,0.0,
167,2025,1100,Local Property Tax,9510967.0,68.3
167,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",249278.75999999978,1.8
167,2025,3111&3112&3119,State Foundation/Adequacy Aid,3553474.0,25.5
167,2025,3120-3900,Other State Aid,176510.0,1.3
167,2025,4000,Federal Aid,443710.0,3.2
167,2025,5300-5600,Other,0.0,0.0
167,2025,5110&5140,Sales of Bonds & Notes,0.0,
171,2025,1100,Local Property Tax,294129.0,55.8
171,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",17437.679999999993,3.3
171,2025,3111&3112&3119,State Foundation/Adequacy Aid,166117.0,31.5
171,2025,3120-3900,Other State Aid,52.0,0.0
171,2025,4000,Federal Aid,49202.0,9.3
171,2025,5300-5600,Other,0.0,0.0
